swing_dir,outcome,json_bytes,ppsw_bytes,ms,error
"C:/PinPointStudio/Mark-Liversedge/2026-09-09_Mark-Liversedge_Wrist_01/swing_0003",converted,28720621,2757923,370,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-09_Mark-Liversedge_Wrist_01/swing_0004",converted,28937115,2768401,391,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-09_Mark-Liversedge_Wrist_01/swing_0005",converted,28864065,2770061,371,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-09_Mark-Liversedge_Wrist_01/swing_0006",converted,28730737,2675640,383,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-09_Mark-Liversedge_Wrist_01/swing_0007",converted,28719126,2748333,373,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_01/swing_0001",converted,27636413,2716054,367,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_01/swing_0002",converted,27851355,2700335,360,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_01/swing_0003",converted,27354328,2657394,348,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_01/swing_0004",converted,28289065,2760020,369,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_01/swing_0005",converted,28825371,2766810,390,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_01/swing_0006",converted,28148044,2778171,355,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_01/swing_0007",converted,28121740,2730913,358,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_01/swing_0008",converted,28311475,2790479,370,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_01/swing_0009",converted,28093303,2777472,386,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_01/swing_0010",converted,28142275,2773756,382,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_01/swing_0011",converted,27959281,2763897,358,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_01/swing_0012",converted,20221843,731276,375,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_01/swing_0013",converted,28171252,2762646,362,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_02/swing_0001",converted,29060467,2713971,393,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_02/swing_0002",converted,29071470,2741165,386,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_02/swing_0003",converted,28850688,2741221,361,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_02/swing_0004",converted,29008407,2751003,374,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_02/swing_0005",converted,29014334,2736303,389,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_02/swing_0006",converted,28741942,2726590,361,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_02/swing_0007",converted,29019575,2751189,363,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_02/swing_0008",converted,29011835,2761934,377,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_02/swing_0009",converted,29037072,2754012,399,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_02/swing_0010",converted,29025618,2739658,363,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_02/swing_0011",converted,28855690,2738710,457,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_02/swing_0012",converted,29005020,2743985,397,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_02/swing_0013",converted,29025727,2728721,389,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-16_Mark-Liversedge_Wrist_01/swing_0001",converted,27887830,2731314,354,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-16_Mark-Liversedge_Wrist_01/swing_0002",converted,27572009,2708331,375,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-16_Mark-Liversedge_Wrist_01/swing_0003",converted,27863521,2746294,383,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-16_Mark-Liversedge_Wrist_02/swing_0001",converted,27630860,2724366,370,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-16_Mark-Liversedge_Wrist_02/swing_0002",converted,27979184,2762038,354,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-16_Mark-Liversedge_Wrist_02/swing_0003",converted,27990056,2766927,350,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-16_Mark-Liversedge_Wrist_03/swing_0001",converted,27938607,2751999,360,""
